Phase,Category,Sub-phase,Learning Focus,Deliverable,Status,Courses,Links
Phase 1,Core Backend with Go,1.1 Basic Go,"Syntax, types, testing, interfaces, concurrency intro",Mini Go console apps,Not Started,Boot.dev Backend Track; Go by Example; Go Tour,https://www.boot.dev/tracks/backend | https://gobyexample.com/ | https://go.dev/tour/
Phase 1,Core Backend with Go,1.2 HTTP & REST API,"net/http, handlers, JSON, routing patterns",CRUD Notes API (local),Not Started,Boot.dev Backend Track; Go Standard Library Docs,https://www.boot.dev/tracks/backend | https://pkg.go.dev/net/http
Phase 1,Core Backend with Go,1.3 Packages & Modules,"go mod, project structure, versioning",Reusable modules & clear folders,Not Started,Go Modules Blog/Docs,https://go.dev/blog/using-go-modules
Phase 1,Core Backend with Go,1.4 Concurrency & Goroutines,"goroutines, channels, select, worker pool",Concurrent worker demo,Not Started,Go Concurrency Patterns (blog); Go Docs,https://go.dev/blog/pipelines | https://go.dev/doc/
Phase 2,Data Layer: PostgreSQL & Redis,2.1 PostgreSQL Basics,"SQL, indexes, joins, EXPLAIN",SQL scripts + ERD,Not Started,PostgreSQL Docs,https://www.postgresql.org/docs/
Phase 2,Data Layer: PostgreSQL & Redis,2.2 ORM with GORM,"Models, CRUD, migrations, relations",API ↔ Postgres via GORM,Not Started,GORM Docs,https://gorm.io
Phase 2,Data Layer: PostgreSQL & Redis,2.3 Redis Integration,"Key-value, caching strategy, TTL",Cache hit/miss demo,Not Started,Redis University RU101,https://university.redis.com/courses/ru101/
Phase 3,Deployment & Environment,3.1 Docker Fundamentals,"Images, containers, Dockerfile",Containerized API image,Not Started,Docker Docs,https://docs.docker.com/
Phase 3,Deployment & Environment,3.2 Docker Compose,Compose multi-service (API+DB+Redis),docker-compose.yml (up & running),Not Started,Docker Compose Docs,https://docs.docker.com/compose/
Phase 3,Deployment & Environment,3.3 CI/CD Basics,"GitHub Actions, build/test workflow",CI pipeline green,Not Started,GitHub Actions Docs,https://docs.github.com/actions
Phase 4,Frontend (Vue/React + Tailwind),4.1 Framework Basics,"Components, state, routing",Simple UI with local state,Not Started,Vue Mastery Intro to Vue 3; React Docs,https://www.vuemastery.com/courses/intro-to-vue-3/ | https://react.dev/learn
Phase 4,Frontend (Vue/React + Tailwind),4.2 API Integration,Fetch data from REST backend,UI connected to Notes API,Not Started,Axios Docs; Fetch API,https://axios-http.com/docs/intro | https://developer.mozilla.org/docs/Web/API/Fetch_API
Phase 4,Frontend (Vue/React + Tailwind),4.3 Styling with Tailwind,"Utility classes, responsive design",Styled dashboard,Not Started,Tailwind CSS Docs,https://tailwindcss.com/docs
Phase 5,"Testing, Monitoring & Tooling",5.1 Unit Testing,go test; mocks with Mockery,Coverage ≥ 70%,Not Started,Go testing package; Mockery,https://pkg.go.dev/testing | https://github.com/vektra/mockery
Phase 5,"Testing, Monitoring & Tooling",5.2 Logging & Retry,Zerolog structured logs; retryablehttp,Structured logs + retry logic,Not Started,Zerolog; RetryableHTTP,https://github.com/rs/zerolog | https://github.com/hashicorp/go-retryablehttp
Phase 5,"Testing, Monitoring & Tooling",5.3 Monitoring,Sentry Go SDK; error tracing,Sentry alerts for errors,Not Started,Sentry Go SDK Docs,https://docs.sentry.io/platforms/go/
Phase 6,Capstone Project,6.1 Plan & Design,"Requirements, API spec, DB schema",Design doc approved,Not Started,System Design Primer,https://github.com/donnemartin/system-design-primer
Phase 6,Capstone Project,6.2 Build & Integrate,Backend + Frontend + Infra; deploy,Live URL + README,Not Started,Render/Cloud Run Docs; Docker Docs,https://render.com/docs | https://cloud.google.com/run/docs | https://docs.docker.com/
Phase 6,Capstone Project,6.3 Final Review,"Docs, monitoring dashboard, demo",Demo recording + links,Not Started,Technical Writing (Google),https://developers.google.com/tech-writing
